tahun,latitude,longitude,nama_provinsi,nama_kabupaten_kota,nama_kelurahan,nama_kecamatan,jumlaluas_wilayah,jumlah_kepadatanjiwakm2
2017,-6.120065,106.892275,PROVINSI DKI JAKARTA,JAKARTA UTARA,kebon bawang,TANJUNG PRIOK,1.73,35219.46
2017,-6.151319,106.904672,PROVINSI DKI JAKARTA,JAKARTA UTARA,kelapa gading timur,KELAPA GADING,5.31,7448.64
2017,-6.166644,106.902424,PROVINSI DKI JAKARTA,JAKARTA UTARA,kelapa gading timur,KELAPA GADING,5.31,7448.64
2017,-6.154413,106.910807,PROVINSI DKI JAKARTA,JAKARTA UTARA,pegangsaan dua,KELAPA GADING,6.28,8931.45
2017,-6.162897,106.884723,PROVINSI DKI JAKARTA,JAKARTA UTARA,kelapa gading barat,KELAPA GADING,4.53,8992.54
2017,-6.126705,106.793906,PROVINSI DKI JAKARTA,JAKARTA UTARA,penjaringan,PENJARINGAN,3.95,26604.71
2017,-6.125477,106.800805,PROVINSI DKI JAKARTA,JAKARTA UTARA,penjaringan,PENJARINGAN,3.95,26604.71
2017,-6.133556,106.779851,PROVINSI DKI JAKARTA,JAKARTA UTARA,pejagalan,PENJARINGAN,2.23,27297.79
2017,-6.098341,106.714253,PROVINSI DKI JAKARTA,JAKARTA UTARA,kamal muara,PENJARINGAN,10.53,13.46
2017,-6.136835,106.763755,PROVINSI DKI JAKARTA,JAKARTA UTARA,kapuk muara,PENJARINGAN,10.06,3872.4
2017,-6.12192,106.775666,PROVINSI DKI JAKARTA,JAKARTA UTARA,pluit,PENJARINGAN,7.71,6794.3
2017,-6.116628,106.892764,PROVINSI DKI JAKARTA,JAKARTA UTARA,kebon bawang,TANJUNG PRIOK,1.73,35219.46
2017,-6.112824,106.881502,PROVINSI DKI JAKARTA,JAKARTA UTARA,tanjung priok,TANJUNG PRIOK,5.54,7594.22
2017,-6.116196,106.881013,PROVINSI DKI JAKARTA,JAKARTA UTARA,sungai bambu,TANJUNG PRIOK,2.36,15173.1
2017,-6.115853,106.888722,PROVINSI DKI JAKARTA,JAKARTA UTARA,kebon bawang,TANJUNG PRIOK,1.73,35219.46
2017,-6.119739,106.875361,PROVINSI DKI JAKARTA,JAKARTA UTARA,warakas,TANJUNG PRIOK,1.09,49014.15
2017,-6.149698,106.867397,PROVINSI DKI JAKARTA,JAKARTA UTARA,sunter jaya,TANJUNG PRIOK,4.58,15911.12
2017,-6.139265,106.871217,PROVINSI DKI JAKARTA,JAKARTA UTARA,sunter agung,TANJUNG PRIOK,7.02,1188.78
2017,-6.13017,106.871322,PROVINSI DKI JAKARTA,JAKARTA UTARA,papanggo,TANJUNG PRIOK,2.8,16623.9
2017,-6.117971,106.910785,PROVINSI DKI JAKARTA,JAKARTA UTARA,lagoa,KOJA,1.58,44808.61
NA,-6.128293,106.898815,NA,NA,rawabadak selatan,NA,NA,NA
2017,-6.16636,106.88136,PROVINSI DKI JAKARTA,JAKARTA UTARA,koja,KOJA,3.28,10504.88
NA,-6.11916,106.898729,NA,NA,rawabadak utara,NA,NA,NA
